Timestamp,Current Sound Value,Maximum Sound Threshold,Current Temperature Value,Minimum Temperature Threshold,Maximum Temperature Threshold
1079980563,43,80,25.897268,20,35
1079980564,42,80,25.897268,20,35
1079980565,57,80,25.90734,20,35
1079980566,47,80,25.90734,20,35
1079980567,47,80,25.917412,20,35
1079980568,41,80,25.937553,20,35
1079980569,42,80,25.937553,20,35
1079980570,44,80,25.947626,20,35
1079980571,43,80,25.947626,20,35
1079980572,49,80,25.97784,20,35
1079980573,42,80,25.987911,20,35
1079980574,49,80,25.997982,20,35
1079980575,64,80,26.018126,20,35
1079980576,57,80,26.028196,20,35
1079980577,98,80,26.219553,20,35
1079980579,72,80,26.179268,20,35
1079980580,61,80,26.169197,20,35
1079980582,52,80,26.169197,20,35
1079980583,48,80,26.179268,20,35
1079980584,43,80,26.189339,20,35
1079980585,42,80,26.189339,20,35
1079980586,40,80,26.189339,20,35
1079980587,45,80,26.189339,20,35
1079980588,41,80,26.189339,20,35
1079980589,40,80,26.209482,20,35
1079980590,46,80,26.219553,20,35
1079980591,46,80,26.219553,20,35
1079980592,42,80,26.219553,20,35
1079980593,44,80,26.219553,20,35
1079980594,42,80,26.219553,20,35
1079980595,47,80,26.219553,20,35
1079980596,55,80,26.219553,20,35
1079980597,46,80,26.229626,20,35
1079980598,60,80,26.229626,20,35
1079980599,61,80,26.25984,20,35
1079980600,56,80,26.300125,20,35
1079980601,101,80,26.501553,20,35
1079980602,82,80,26.441124,20,35
1079980603,67,80,26.420982,20,35
1079980604,43,80,26.420982,20,35
1079980605,53,80,26.400839,20,35
1079980606,42,80,26.420982,20,35
1079980607,44,80,26.420982,20,35
1079980608,43,80,26.431053,20,35
1079980609,39,80,26.420982,20,35
1079980610,41,80,26.431053,20,35
1079980611,39,80,26.431053,20,35
1079980612,42,80,26.441124,20,35
1079980613,44,80,26.441124,20,35
1079980614,44,80,26.441124,20,35
1079980615,41,80,26.461267,20,35
1079980616,42,80,26.461267,20,35
1079980617,45,80,26.461267,20,35
1079980618,50,80,26.461267,20,35
1079980619,43,80,26.461267,20,35
1079980620,45,80,26.471338,20,35
1079980621,44,80,26.471338,20,35
1079980622,45,80,26.471338,20,35
1079980623,41,80,26.471338,20,35
1079980625,43,80,26.481411,20,35
1079980626,47,80,26.481411,20,35
1079980627,43,80,26.501553,20,35
1079980628,41,80,26.501553,20,27
1079980629,46,80,26.511625,20,27
1079980630,45,80,26.511625,20,27
1079980631,53,80,26.511625,20,27
1079980632,67,80,26.511625,20,27
1079980633,89,80,26.83391,20,27
1079980634,78,80,26.90441,20,27
1079980635,83,80,26.753338,20,27
1079980636,58,80,26.743267,20,27
1079980637,55,80,26.743267,20,27
1079980638,48,80,26.743267,20,27
1079980639,50,80,26.773481,20,27
1079980640,51,80,26.773481,20,27
1079980641,46,80,26.783552,20,27
1079980642,39,80,26.783552,20,27
1079980643,43,80,26.783552,20,27
1079980644,43,80,26.783552,20,27
1079980645,44,80,26.793625,20,27
1079980646,44,80,26.793625,20,27
1079980647,47,80,26.813766,20,27
1079980648,43,80,26.813766,20,27
1079980649,41,80,26.82384,20,27
1079980650,43,80,26.83391,20,27
1079980651,40,80,26.82384,20,27
1079980652,45,80,26.83391,20,27
1079980654,42,120,26.854053,20,27
1079980655,52,120,26.854053,20,27
1079980656,48,120,27.055481,20,27
1079980657,84,120,27.458338,20,27
1079980658,85,120,27.367695,20,27
1079980659,68,120,27.105839,20,27
1079980660,58,120,27.136053,20,27
1079980661,48,120,27.136053,20,27
1079980662,48,120,27.146124,20,27
1079980663,64,120,27.146124,20,27
1079980664,48,120,27.166267,20,27
1079980665,38,120,27.166267,20,27
1079980666,45,120,27.146124,20,27
1079980667,44,120,27.146124,20,27
1079980668,45,120,27.166267,20,27
1079980669,39,120,27.166267,20,27
1079980670,41,120,27.146124,20,27
1079980671,39,120,27.146124,20,27
1079980672,39,120,27.146124,20,27
1079980673,47,120,27.146124,20,27
1079980674,36,120,27.146124,20,27
1079980675,42,120,27.146124,20,27
1079980676,52,120,27.166267,20,27
1079980677,55,120,27.166267,20,27
1079980678,42,120,27.176338,20,27
1079980679,48,120,27.166267,20,27
1079980680,40,120,27.166267,20,28
1079980681,46,120,27.176338,20,28
1079980682,40,120,27.176338,20,28
1079980683,42,120,27.166267,20,28
1079980684,40,120,27.176338,20,28
1079980685,46,120,27.176338,20,28
1079980686,41,120,27.166267,20,28
1079980687,46,120,27.186409,20,28
